=== Início do monitoramento: sex 26 set 2025 12:19:16 -03 ===
Processo: puzzle (PID: 80358)
Intervalo: 0.5 segundos
=========================================
[12:19:16] CPU: 0.8% | MEM: 0.0% | RSS: 3MB
[12:19:17] CPU: 2.1% | MEM: 0.0% | RSS: 4MB
[12:19:17] CPU: 3.4% | MEM: 0.0% | RSS: 5MB
[12:19:18] CPU: 4.6% | MEM: 0.0% | RSS: 6MB
[12:19:18] CPU: 5.9% | MEM: 0.0% | RSS: 6MB
[12:19:19] CPU: 7.0% | MEM: 0.0% | RSS: 6MB
[12:19:20] CPU: 8.2% | MEM: 0.0% | RSS: 6MB
[12:19:20] CPU: 9.4% | MEM: 0.0% | RSS: 6MB
[12:19:21] CPU: 10.5% | MEM: 0.0% | RSS: 6MB
[12:19:21] CPU: 11.5% | MEM: 0.0% | RSS: 6MB
[12:19:22] CPU: 12.6% | MEM: 0.0% | RSS: 7MB
=== Início do monitoramento: sex 26 set 2025 12:20:19 -03 ===
Processo: puzzle (PID: 81008)
Intervalo: 0.5 segundos
=========================================
[12:20:19] CPU: 2.5% | MEM: 0.0% | RSS: 3MB
[12:20:19] CPU: 6.1% | MEM: 0.0% | RSS: 4MB
[12:20:20] CPU: 9.6% | MEM: 0.0% | RSS: 5MB
[12:20:20] CPU: 12.7% | MEM: 0.0% | RSS: 5MB
[12:20:21] CPU: 15.6% | MEM: 0.0% | RSS: 6MB
[12:20:21] CPU: 18.4% | MEM: 0.0% | RSS: 6MB
[12:20:22] CPU: 21.0% | MEM: 0.0% | RSS: 6MB
[12:20:22] CPU: 23.4% | MEM: 0.0% | RSS: 6MB
[12:20:23] CPU: 25.7% | MEM: 0.0% | RSS: 6MB
[12:20:23] CPU: 27.9% | MEM: 0.0% | RSS: 6MB
[12:20:24] CPU: 29.9% | MEM: 0.0% | RSS: 6MB
[12:20:25] CPU: 31.8% | MEM: 0.0% | RSS: 6MB
[12:20:25] CPU: 33.6% | MEM: 0.0% | RSS: 6MB
[12:20:26] CPU: 35.4% | MEM: 0.0% | RSS: 7MB
[12:20:26] CPU: 37.0% | MEM: 0.1% | RSS: 8MB
[12:20:27] CPU: 38.6% | MEM: 0.1% | RSS: 8MB
[12:20:27] CPU: 40.0% | MEM: 0.1% | RSS: 8MB
[12:20:28] CPU: 41.5% | MEM: 0.1% | RSS: 8MB
[12:20:28] CPU: 42.8% | MEM: 0.1% | RSS: 8MB
[12:20:29] CPU: 44.1% | MEM: 0.1% | RSS: 9MB
[12:20:29] CPU: 45.4% | MEM: 0.1% | RSS: 9MB
[12:20:30] CPU: 46.5% | MEM: 0.1% | RSS: 9MB
[12:20:31] CPU: 47.7% | MEM: 0.1% | RSS: 9MB
[12:20:31] CPU: 48.8% | MEM: 0.1% | RSS: 9MB
[12:20:32] CPU: 49.8% | MEM: 0.1% | RSS: 9MB
